               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.026618,            0.015063,           0.0044007,             0.53889,             0.50754,             0.50513,             0.28939,            0.034023,           0.0094185,           0.0090395,            0.006733,            0.006733,            0.006733
                 101,            0.026196,            0.015757,           0.0053885,             0.54328,             0.53695,             0.50994,             0.28973,            0.034159,           0.0093784,            0.011516,              0.0067,              0.0067,              0.0067
                 102,            0.025545,            0.015041,           0.0050299,             0.58996,             0.49383,             0.50245,             0.28743,            0.035195,           0.0099932,            0.010386,            0.006667,            0.006667,            0.006667
                 103,            0.026153,            0.015424,           0.0049752,             0.53667,             0.51133,             0.50169,             0.29122,            0.034701,           0.0094247,           0.0099501,            0.006634,            0.006634,            0.006634
                 104,            0.026232,             0.01476,           0.0046393,             0.54285,             0.55597,             0.52249,             0.30331,            0.033907,           0.0094299,             0.01044,            0.006601,            0.006601,            0.006601
                 105,            0.026521,            0.015786,           0.0050209,             0.54973,             0.54407,             0.52311,             0.29825,            0.034351,           0.0090231,            0.010908,            0.006568,            0.006568,            0.006568
                 106,            0.024855,            0.014959,           0.0052985,             0.50132,             0.50489,             0.48299,             0.27539,            0.034711,           0.0095489,            0.010412,            0.006535,            0.006535,            0.006535
                 107,            0.025216,            0.015169,           0.0051903,             0.50822,             0.52491,             0.49605,             0.28223,            0.033906,           0.0094032,            0.013616,            0.006502,            0.006502,            0.006502
                 108,             0.02524,            0.014808,           0.0056211,             0.53899,             0.49228,              0.4853,             0.28149,            0.032843,           0.0094934,            0.010564,            0.006469,            0.006469,            0.006469
                 109,            0.026405,            0.015545,           0.0048041,             0.53942,             0.52252,             0.50086,             0.28329,            0.033992,           0.0095073,             0.01176,            0.006436,            0.006436,            0.006436
                 110,            0.025589,            0.014763,            0.004668,             0.56982,             0.51275,             0.48455,             0.27631,            0.033375,           0.0097002,            0.013403,            0.006403,            0.006403,            0.006403
                 111,            0.024904,             0.01487,           0.0043402,             0.51169,             0.52382,             0.47713,             0.27762,            0.033806,           0.0097209,           0.0098713,             0.00637,             0.00637,             0.00637
                 112,            0.026179,            0.014825,           0.0042366,             0.56961,             0.48916,              0.4976,              0.2848,            0.035394,           0.0095923,           0.0098964,            0.006337,            0.006337,            0.006337
                 113,            0.025123,            0.014837,           0.0049848,              0.5374,             0.49152,             0.48767,             0.27803,            0.034426,           0.0096082,           0.0094089,            0.006304,            0.006304,            0.006304
                 114,            0.026078,            0.015057,           0.0042205,             0.53211,             0.50439,             0.48293,             0.27939,            0.035217,           0.0096852,            0.015992,            0.006271,            0.006271,            0.006271
                 115,            0.025789,             0.01498,           0.0041919,             0.54497,             0.51504,             0.48587,             0.27598,            0.036032,           0.0097739,            0.011665,            0.006238,            0.006238,            0.006238
                 116,            0.024907,            0.014752,           0.0043088,              0.5461,             0.53968,             0.52705,             0.30235,            0.034106,           0.0093067,           0.0095542,            0.006205,            0.006205,            0.006205
                 117,            0.025202,            0.014059,           0.0046651,             0.58102,             0.49148,             0.50969,             0.29655,            0.034754,           0.0096977,            0.012386,            0.006172,            0.006172,            0.006172
                 118,             0.02578,            0.014918,            0.003478,             0.51758,              0.5432,             0.50729,             0.29387,            0.034524,           0.0096368,            0.013163,            0.006139,            0.006139,            0.006139
                 119,            0.024811,            0.014401,           0.0040171,             0.54333,             0.52911,             0.50855,             0.29909,            0.035094,           0.0094775,            0.013388,            0.006106,            0.006106,            0.006106
                 120,            0.024772,            0.014502,           0.0042366,             0.57566,             0.51217,             0.49843,             0.28431,            0.033945,           0.0096354,            0.012921,            0.006073,            0.006073,            0.006073
                 121,             0.02521,            0.014802,            0.003814,             0.54221,             0.52687,             0.50269,             0.29657,            0.033054,           0.0096449,            0.012918,             0.00604,             0.00604,             0.00604
                 122,            0.024622,            0.014676,           0.0039693,             0.54484,             0.53604,             0.49198,             0.29112,            0.033995,           0.0096365,             0.01113,            0.006007,            0.006007,            0.006007
                 123,            0.024628,            0.014274,           0.0043705,             0.48867,             0.50032,             0.45759,             0.27277,            0.035859,           0.0099813,            0.014485,            0.005974,            0.005974,            0.005974
                 124,            0.025113,            0.014869,           0.0045437,             0.55742,             0.49882,             0.50063,             0.28707,            0.034291,           0.0098093,            0.010998,            0.005941,            0.005941,            0.005941
                 125,            0.024689,            0.014299,           0.0040324,             0.54924,             0.50567,             0.49202,             0.28738,            0.035177,            0.009738,            0.014151,            0.005908,            0.005908,            0.005908
                 126,            0.024583,            0.014436,           0.0037903,             0.56397,             0.50325,             0.48999,             0.28796,            0.034361,           0.0097334,            0.015747,            0.005875,            0.005875,            0.005875
                 127,            0.024209,            0.014127,           0.0038703,              0.5115,             0.50173,             0.48598,             0.27798,            0.035379,           0.0098032,            0.015297,            0.005842,            0.005842,            0.005842
                 128,            0.024195,             0.01441,            0.003114,              0.5309,             0.51746,             0.49661,             0.29921,            0.034429,           0.0097694,            0.011969,            0.005809,            0.005809,            0.005809
                 129,            0.024274,            0.013751,            0.003517,             0.53256,             0.49316,             0.49431,             0.29306,            0.034856,           0.0099799,            0.014673,            0.005776,            0.005776,            0.005776
                 130,            0.024926,            0.014367,           0.0035034,             0.53731,             0.49553,             0.48147,             0.28184,            0.034724,           0.0096881,             0.01065,            0.005743,            0.005743,            0.005743
                 131,            0.025248,            0.014883,           0.0036586,             0.58458,             0.47838,             0.48891,             0.29329,            0.034132,           0.0097509,            0.011599,             0.00571,             0.00571,             0.00571
                 132,            0.024083,             0.01429,           0.0043339,             0.52657,             0.50114,             0.47904,             0.28613,            0.035715,           0.0098896,            0.013207,            0.005677,            0.005677,            0.005677
                 133,             0.02396,            0.014492,           0.0035863,             0.54534,              0.5147,             0.48571,             0.27923,             0.03489,           0.0098724,            0.014071,            0.005644,            0.005644,            0.005644
                 134,            0.023504,             0.01426,            0.003382,             0.50464,             0.48791,             0.47216,             0.27016,            0.035479,           0.0096443,            0.016762,            0.005611,            0.005611,            0.005611
                 135,            0.023178,            0.013562,           0.0034615,             0.53005,              0.5098,             0.49179,             0.29417,            0.034358,            0.010025,            0.010917,            0.005578,            0.005578,            0.005578
                 136,             0.02303,            0.013622,           0.0033229,             0.51702,             0.49621,             0.49317,             0.29684,            0.035596,           0.0098068,            0.013747,            0.005545,            0.005545,            0.005545
                 137,            0.023104,            0.013323,           0.0031929,             0.55644,             0.50599,             0.49527,              0.2894,            0.035694,           0.0096693,             0.01185,            0.005512,            0.005512,            0.005512
                 138,            0.023801,            0.013822,            0.003916,             0.60382,               0.519,             0.52418,             0.30919,            0.035088,           0.0096434,            0.011147,            0.005479,            0.005479,            0.005479
                 139,            0.023136,            0.014015,           0.0035406,             0.58239,             0.47814,             0.48841,             0.29247,            0.034715,           0.0097815,            0.009912,            0.005446,            0.005446,            0.005446
                 140,            0.023967,            0.014289,           0.0033119,             0.56115,             0.51761,             0.50064,             0.29761,            0.033448,            0.010077,            0.010882,            0.005413,            0.005413,            0.005413
                 141,            0.023138,            0.013832,           0.0032327,             0.55468,             0.53303,             0.49773,             0.29715,             0.03355,           0.0097489,            0.010123,             0.00538,             0.00538,             0.00538
                 142,            0.023032,            0.013469,           0.0030739,             0.52458,             0.51309,             0.48491,             0.28848,             0.03436,            0.010359,            0.012865,            0.005347,            0.005347,            0.005347
                 143,            0.023464,            0.013628,           0.0035974,             0.54441,             0.53255,             0.50945,             0.29968,            0.033611,           0.0096264,           0.0093048,            0.005314,            0.005314,            0.005314
                 144,            0.022776,             0.01391,           0.0035246,             0.57904,             0.52879,             0.50958,             0.30544,            0.033996,           0.0095792,            0.011291,            0.005281,            0.005281,            0.005281
                 145,            0.023692,            0.014064,            0.003361,             0.57534,             0.51556,              0.5094,             0.30868,            0.033804,           0.0096496,            0.010057,            0.005248,            0.005248,            0.005248
                 146,            0.022927,            0.013619,           0.0033717,             0.57097,             0.53395,             0.51378,             0.31043,            0.034376,           0.0097882,           0.0090263,            0.005215,            0.005215,            0.005215
                 147,            0.022983,            0.013715,           0.0031587,             0.55651,             0.52037,             0.52212,             0.31851,            0.034222,           0.0096369,           0.0090577,            0.005182,            0.005182,            0.005182
                 148,            0.022362,            0.013603,           0.0031548,              0.5968,              0.4966,             0.52344,             0.30717,            0.034296,            0.009657,           0.0089993,            0.005149,            0.005149,            0.005149
                 149,             0.02356,             0.01334,           0.0034181,             0.54998,             0.52715,             0.52742,             0.31411,            0.033696,           0.0098834,           0.0097877,            0.005116,            0.005116,            0.005116
                 150,            0.022673,            0.013409,           0.0036094,             0.60873,              0.5188,             0.53401,             0.31044,            0.034787,           0.0097584,             0.01176,            0.005083,            0.005083,            0.005083
                 151,            0.023182,            0.013555,           0.0034266,             0.58899,             0.48192,             0.51743,               0.311,            0.035711,           0.0096267,            0.010564,             0.00505,             0.00505,             0.00505
                 152,            0.023597,            0.013532,           0.0035365,             0.57515,             0.51473,             0.51636,             0.31148,             0.03453,           0.0097401,           0.0099478,            0.005017,            0.005017,            0.005017
                 153,             0.02315,            0.013526,           0.0032855,             0.57448,             0.52777,             0.53308,             0.32902,            0.033796,           0.0099068,             0.01024,            0.004984,            0.004984,            0.004984
                 154,            0.023195,             0.01397,           0.0028026,             0.63606,             0.48902,             0.53524,             0.31329,            0.034349,            0.010176,           0.0089387,            0.004951,            0.004951,            0.004951
                 155,            0.022366,            0.013813,           0.0027993,              0.5445,             0.52816,             0.51661,             0.30378,            0.033691,            0.010182,            0.010579,            0.004918,            0.004918,            0.004918
                 156,            0.023213,            0.013131,           0.0028349,             0.57194,             0.54572,             0.53474,             0.32245,            0.034048,            0.010156,            0.010624,            0.004885,            0.004885,            0.004885
                 157,            0.023376,            0.013067,           0.0031541,             0.61474,             0.51071,             0.53219,             0.31528,             0.03429,            0.010118,           0.0093756,            0.004852,            0.004852,            0.004852
                 158,            0.023045,            0.013773,           0.0030276,             0.54981,             0.55615,             0.51658,             0.30185,            0.034371,            0.010006,           0.0083218,            0.004819,            0.004819,            0.004819
                 159,            0.022241,            0.013361,           0.0031138,             0.58108,             0.53938,             0.55122,             0.32113,            0.034248,            0.010027,           0.0084629,            0.004786,            0.004786,            0.004786
                 160,            0.021584,            0.013341,           0.0029579,             0.59152,             0.55231,             0.54138,             0.32556,            0.033963,           0.0098132,           0.0086315,            0.004753,            0.004753,            0.004753
